,City,Zone,Total_Days2020,Poor_Days2020,AQI_Median2020,Total_Days2010,Poor_Days2010,AQI_Median2010,Scale2020,Scale2010,Poorday_Rate2020,Poorday_Rate2010
0,Seattle,west,306,14,42,365,3,41,0.8383561643835616,1.0,16,3
1,San Francisco,west,314,22,45,365,14,48,0.8602739726027397,1.0,25,14
2,Los Angeles,west,275,119,81,365,115,77,0.7534246575342466,1.0,157,115
3,Denver,mountain,366,34,58,365,38,61,1.0027397260273974,1.0,33,38
4,Salt Lake City, mountain,366,21,50,365,24,51,1.0027397260273974,1.0,20,24
5,Phoenix,mountain,366,70,75,365,59,74,1.0027397260273974,1.0,69,59
6,Chicago,central,366,28,56,365,43,71,1.0027397260273974,1.0,27,43
7,St. Louis,central,366,10,52,365,103,74,1.0027397260273974,1.0,9,103
8,Dallas,central,306,24,49,365,28,52,0.8383561643835616,1.0,28,28
9,Boston,east,306,0,42,365,10,47,0.8383561643835616,1.0,0,10
10,Washington D.C.,east,366,3,42,365,50,55,1.0027397260273974,1.0,2,50
11,Miami,east,275,2,44,365,159,48,0.7534246575342466,1.0,2,159
12,Centralia,west,323,0,19,365,0,19,0.8849315068493151,1.0,0,0
13,Charlottesville,east,363,0,35,261,4,45,0.9945205479452055,0.7150684931506849,0,5
